"Title","Título"
"(In cash)","(À vista)"
"APPROVED","APROVADO"
"IN ANALYSIS","EM ANÀLISE"
"NOT APPROVED","NÃO APROVADO"
"Payment data object should be provided","O objeto de dados de pagamento deve ser fornecido"
"PayPalPlus Request object should be provided","O objeto de pedido do PayPalPlus deve ser fornecido"
"Error in Payment return failed","Erro na devolução do pagamento falhou"
"PayPalPlus Credit Card Authorize Response object should be provided","O objeto de Resposta de Autorização de Cartão de Crédito PayPalPlus deve ser fornecido"
"Sandbox","Sandbox"
"Production","Produção"
"Authorize and Capture","Autorizar e Capturar"
"All Countries","Todos os países"
"Notified customer about invoice #%1.","Cliente notificado sobre a fatura #%1."
"Could not determine which mode is used!","Não foi possível determinar qual modo é usado!"
"We have identified that your store does not have the active TAX / VAT feature. To add it's support, go to <a href='%1'> Here </a> or go to Customers-> Customer Settings-> Create New Customer Account-> Display VAT number in frontend.","Identificamos que a sua loja não está com o recurso de TAX/VAT ativo. Para adicionar o suporte, acesse <a href='%1'>Aqui</a> ou vá em Clientes->Configurações de Clientes->Criar Nova Conta Para Clientes->Mostrar número VAT no frontend."
"We have identified that your store does not have an active phone, please enable to activate the module","Identificamos que a sua loja não possui um telefone ativo, favor habilitar para ativar o módulo"
"We have identified that your store does not have support for CPF / CNPJ (TAXVAT). To add support, go to <a href="%1"> Here </a> and go to Shop-> Settings-> Clients-> Name and address options-> Show TAX / VAT number.","Identificamos que a sua loja não possui suporte para CPF/CNPJ (TAXVAT). Para adicionar o suporte, acesse <a href="%1"> Aqui</a> e vá em Loja->Configurações->Clientes->Opções de nome e  endereço->Mostrar número TAX/VAT."
"Your base currency has to be BRL in order to activate this module.","Sua moeda base tem que ser BRL para ativar este módulo."
"Incorrect API credentials, please review it.","Credenciais de API incorretas, favor revisar."
"Notified customer about refund #%1.","Cliente notificado sobre reembolso #%1."
"An error occurred with Refund.","Ocorreu um erro com o reembolso."
"Remembered Card","Cartão Salvo"
"Your order <strong>#%increment_id</strong> is on hold due to a pending payment. \n\ The order will be processed after the payment is approved by the payment gateway.","O seu pedido <strong> #%increment_id </ strong> está em espera devido à uma anlálise de pagamento. \n\ O pedido será processado após o pagamento ser aprovado no gateway de pagamento"
"You can check the status of your order by <a href="%account_url">logging into your account</a>.","Você pode verificar o status do seu pedido por <a href="%account_url"> efetuar login em sua conta </a>."
"If you have questions about your order, you can email us at <a href="mailto:%store_email">%store_email</a>","Se você tiver dúvidas sobre seu pedido, você pode nos enviar um e-mail para <a href="mailto:%store_email">%store_email</a>"
"or call us at <a href="tel:%store_phone">%store_phone</a>","ou ligue para <a href="tel:%store_phone">%store_phone</a>"
"Credit Card (PayPal Plus)","Cartão de Crédito (PayPal Plus)"
"Transaction Id: ","Id da Transação: "
"State PayPal: ","Status PayPal: "
"Installments: ","Parcelas: "
"Token PayPal: ","Token PayPal: "
"Credit Card","Cartão de Crédito"
"Please verify shipping address.","Verifique o endereço de envio."
"An unexpected error occurred, please try again.","Ocorreu um erro inesperado, por favor tente novamente."
"Please use another card if the problem persists please contact PayPal (0800-047-4482).","Por favor utilize outro cartão, caso o problema persista entre em contato com o PayPal (0800-047-4482)."
"Your payment was not approved. Please use another card if the problem persists please contact PayPal (0800-047-4482).","Seu pagamento não foi aprovado. Por favor utilize outro cartão, caso o problema persista entre em contato com o PayPal (0800-047-4482)."
"An unexpected error occurred, please try again.","Ocorreu um erro inesperado, por favor tente novamente."
"Your session has expired, please try again.","A sua sessão expirou, por favor tente novamente."
"Please review the credit card data entered.","Por favor revise os dados de Cartão de Crédito inseridos."
"<div><span>Error loading the payment method. Please try again, if problem persists contact us.</span></div>","<div><span>Erro ao carregar o meio de pagamento. Tente novamente, se o problema persistir entre em contato.</span></div>"
"We cannot process PayPal Payments at this time. Please try again later","Não podemos processar os Pagamentos do PayPal neste momento. Por favor, tente novamente mais tarde"
"In order to use this payment method, please select it and add a Billing Address.","Para usar este método de pagamento, selecione-o e adicione um endereço de cobrança."
"Please specify an e-mail address and try again","Por favor, especifique um endereço de e-mail e tente novamente"
"Payment has been authorized.","O pagamento foi autorizado."
"Payment has been rejected, please try again with a different card.","O pagamento foi rejeitado, tente novamente com um cartão diferente."
"Continue","Continuar"
"Place Order","Finalizar"
"PayPal","PayPal"
"PayPal Plus","PayPal Plus"
"The experience of an unbranded checkout processed with PayPal security. The user makes the payment directly on your website using only his credit card, without the need of a PayPal account.","A experiência de um checkout transparente processado com a segurança do PayPal. O cliente não deixa o seu site para realizar o pagamento e utiliza apenas o cartão de crédito, não havendo a necessidade de ter uma conta PayPal."
"Enable this Solution","Ative esta Solução"
"Exhibition Name","Nome de Exibição"
"It's going to be display on checkout: Credit Card 'Exhibition Name'","Será exibido no checkout: Cartão de Crédito 'Nome de Exibição'"
"By default, the PayPal Plus solution is displayed as a 'Credit Card'. Use this option to set additional text, such as installments or discounts.","Por padrão, a solução PayPal Plus é exibida como um 'Cartão de crédito'. Use esta opção para definir texto adicional, como parcelamento ou descontos."
"Mode","Modo"
"Use this option to switch between Sandbox and Production modes. Sandbox is used for testing and production for actual purchases.","Use esta opção para alternar entre os modos Sandbox e Production. Sandbox é usado para testes e produção para compras reais."
"Client ID (Sandbox)","Client ID (Sandbox)"
"<![CDATA[To generate the Client ID, access <a href="#">here</a> and look for the "REST API Apps" section.]]>","<![CDATA[Para gerar o Client ID, acesse <a href="#">aqui</a>  e procure a seção "REST API Apps".]]>"
"Secret ID (Sandbox)","Secret ID (Sandbox)"
"<![CDATA[To generate the Secret ID, access <a href="#">here</a> and look for the "REST API Apps" section.]]>","<![CDATA[Para gerar o the Secret ID, acesse <a href="#">aqui</a> e procure a seção "REST API Apps".]]>"
"Client ID (Production)","Client ID (Production)"
"Secret ID (Production)","Secret ID (Production)"
"New Order Status","Status de novo pedido"
"Reject Order Status","Status de pedido rejeitado"
"Review Order Status","Status de pedido em revisão"
"Sort Order","Sort Order"
"Depuration Mode","Modo de Depuração"
"The logs will be saved at: var/log/paypalbr/","Os logs serão salvos em: var/log/paypalbr/"
"Enable this mode to debug the application.","Ative este modo para depurar a aplicação."
"Create order from declined transactions","Criar pedido com o pagamento não aprovado"
"When activated, declined transactions will generate orders.","Quando ativado, serão criados pedidos mesmo quando o pagamento não é aprovado."
"Payment is being processed.","Pagamento está sendo processado."
"Invoice #%1 ","Pedido #%1 "
"- Store: #%1","- Loja: #%1"